frame_id,player_id,timestamp_s,x1,y1,x2,y2,cx,cy,w,h,confidence
78,1,2.567,493,301,772,609,632,455,278,307,0.87
78,2,2.567,994,207,1162,502,1078,354,168,295,0.83
78,3,2.567,879,391,1057,654,968,522,178,262,0.83
78,4,2.567,0,205,58,470,29,337,58,265,0.61
78,5,2.567,863,2,1046,163,954,82,182,160,0.33
79,1,2.6,502,307,783,618,642,462,281,311,0.85
79,2,2.6,1003,206,1170,499,1087,353,166,293,0.84
79,3,2.6,886,390,1066,654,976,522,180,263,0.84
79,4,2.6,26,204,84,464,55,334,58,260,0.84
80,1,2.633,497,311,775,620,636,465,277,309,0.81
80,2,2.633,1026,202,1192,493,1109,347,165,291,0.81
80,3,2.633,897,387,1078,650,987,518,180,262,0.86
80,4,2.633,53,204,113,463,83,333,59,258,0.85
80,6,2.633,928,1,1111,177,1020,89,182,175,0.62
81,1,2.667,504,312,773,615,638,463,268,302,0.86
81,2,2.667,1049,190,1217,485,1133,338,168,294,0.85
81,3,2.667,919,385,1099,644,1009,515,180,258,0.86
81,4,2.667,93,216,155,473,124,344,62,256,0.87
81,6,2.667,949,1,1134,178,1041,90,184,177,0.84
82,1,2.7,508,313,771,613,639,463,263,300,0.86
82,2,2.7,1055,187,1225,483,1140,335,170,296,0.85
82,3,2.7,924,385,1106,643,1015,514,181,257,0.86
82,4,2.7,102,220,169,476,136,348,66,256,0.87
82,6,2.7,955,1,1141,179,1048,90,186,177,0.83
83,1,2.733,527,312,787,611,657,462,259,299,0.86
83,2,2.733,1076,185,1242,469,1159,327,166,283,0.85
83,3,2.733,919,384,1103,641,1011,513,184,257,0.86
83,4,2.733,135,229,207,485,171,357,71,256,0.83
83,6,2.733,988,0,1175,177,1081,89,187,176,0.82
84,1,2.767,544,310,800,609,672,459,255,298,0.86
84,2,2.767,1089,178,1247,442,1168,310,158,263,0.85
84,3,2.767,909,381,1092,635,1001,508,182,254,0.77
84,4,2.767,168,228,246,492,207,360,77,264,0.84
84,6,2.767,1022,0,1213,179,1117,90,191,179,0.86
85,1,2.8,544,309,802,613,673,461,258,304,0.88
85,2,2.8,1090,175,1252,438,1171,307,161,262,0.84
85,3,2.8,878,377,1059,628,969,503,180,251,0.82
85,4,2.8,195,233,276,493,236,363,80,260,0.86
85,6,2.8,1044,0,1247,190,1145,95,203,189,0.89
86,1,2.833,548,304,810,619,679,462,262,314,0.86
86,2,2.833,1088,172,1248,432,1168,302,159,259,0.74
86,3,2.833,869,371,1052,622,960,497,182,251,0.86
86,4,2.833,222,236,304,491,263,364,81,255,0.85
86,6,2.833,1060,1,1269,198,1165,99,209,197,0.84
87,1,2.867,554,300,812,617,683,458,257,317,0.84
87,2,2.867,1082,171,1239,427,1161,299,157,255,0.82
87,3,2.867,864,367,1052,621,958,494,187,253,0.88
87,4,2.867,255,238,338,487,296,362,83,248,0.83
87,6,2.867,1070,0,1279,202,1175,101,209,201,0.82
88,1,2.9,558,298,810,616,684,457,251,318,0.84
88,2,2.9,1079,171,1235,426,1157,298,155,255,0.82
88,3,2.9,861,366,1053,620,957,493,191,253,0.88
88,4,2.9,264,238,351,485,307,361,87,246,0.83
88,6,2.9,1074,0,1280,203,1177,102,205,202,0.82
89,1,2.933,554,297,791,608,673,453,237,310,0.84
89,2,2.933,1068,168,1226,424,1147,296,157,256,0.82
89,3,2.933,850,367,1047,619,949,493,197,252,0.88
89,4,2.933,288,243,380,489,334,366,91,245,0.86
89,6,2.933,1084,0,1280,203,1182,102,195,202,0.87
90,1,2.967,560,294,790,604,675,449,230,310,0.85
90,2,2.967,1063,161,1226,421,1144,291,163,259,0.84
90,3,2.967,827,365,1035,623,931,494,208,257,0.86
90,4,2.967,306,251,405,494,356,372,98,243,0.87
90,6,2.967,1091,0,1280,198,1185,99,188,198,0.88
91,1,3.0,563,291,787,598,675,444,223,306,0.85
91,2,3.0,1060,157,1227,413,1143,285,166,255,0.86
91,3,3.0,808,369,1018,624,913,497,209,255,0.86
91,4,3.0,313,256,423,504,368,380,110,248,0.86
91,6,3.0,1095,0,1280,191,1187,96,184,190,0.88
92,1,3.033,569,292,780,585,674,439,210,292,0.85
92,2,3.033,1056,150,1223,395,1139,273,166,244,0.85
92,3,3.033,784,365,995,626,890,496,211,260,0.82
92,4,3.033,325,265,448,522,387,393,123,257,0.88
92,6,3.033,1096,0,1280,198,1188,99,183,197,0.85
93,1,3.067,560,296,764,582,662,439,204,286,0.84
93,2,3.067,1045,148,1215,390,1130,269,169,241,0.84
93,3,3.067,759,363,966,625,863,494,207,261,0.84
93,4,3.067,343,273,474,528,409,400,131,255,0.85
93,6,3.067,1087,0,1280,211,1183,105,192,211,0.84
94,1,3.1,557,297,758,581,657,439,201,283,0.84
94,2,3.1,1039,148,1213,389,1126,268,173,240,0.84
94,3,3.1,752,363,954,624,853,494,202,261,0.84
94,4,3.1,346,276,486,530,416,403,139,254,0.85
94,6,3.1,1084,0,1280,216,1182,108,195,216,0.84
95,1,3.133,545,295,748,585,647,440,202,290,0.84
95,2,3.133,1027,150,1203,393,1115,271,175,243,0.82
95,3,3.133,736,360,936,624,836,492,200,264,0.85
95,4,3.133,361,281,511,538,436,410,150,257,0.86
95,6,3.133,1071,0,1280,219,1175,110,208,219,0.85
96,1,3.167,539,306,731,591,635,448,191,284,0.8
96,2,3.167,1004,155,1175,397,1090,276,170,241,0.8
96,3,3.167,718,357,920,626,819,491,202,268,0.85
96,4,3.167,376,278,539,542,458,410,163,263,0.88
96,6,3.167,1054,1,1265,227,1159,114,211,225,0.86
97,1,3.2,526,312,710,596,618,454,184,284,0.84
97,2,3.2,980,158,1149,397,1064,278,169,238,0.84
97,3,3.2,694,356,899,624,797,490,205,268,0.88
97,4,3.2,392,271,567,542,479,407,175,271,0.78
97,6,3.2,1048,4,1258,231,1153,118,209,226,0.86
